plant.name,plant.cultivar,plant.genotype,plant.phenotypes.plagiotropic_node_number,plant.phenotypes.plagiotropic_node_distance,plant.phenotypes.orthotropic_branch_length,plant.phenotypes.orthotropic_branch_node_number,plant.phenotypes.height,plant.phenotypes.diameter,plant.phenotypes.leaf_area,model.name,model.tank_volume,model.rotors.number,model.nozzles.type,model.nozzles.number,experiment.name,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.results.coverage.value,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV
coffee,enmcapa,A1,14.67,3.89,70.33,17.66,1.54,1.6,67.4,JT5L-404,5,6,full cone,4,T1,25.0,30.0,55.0,80.0,0.5,2.5,2.0,4.0,10.0,9.0,30.1,320.0,355.0,11.0
coffee,enmcapa,A1,14.614,3.879,70.694,17.584,1.535,1.6,67.396,JT5L-404,5,6,full cone,4,T1,24.409,30.56,55.742,82.435,0.464,2.537,1.954,3.947,10.907,9.005,30.655,317.69,358.893,10.95
coffee,enmcapa,A1,14.771,3.863,70.656,17.66,1.545,1.6,67.955,JT5L-404,5,6,full cone,4,T1,24.636,29.401,55.252,78.342,0.479,2.444,1.997,4.006,9.562,8.947,30.356,323.311,350.176,10.882
coffee,enmcapa,A1,14.664,3.904,70.657,17.718,1.545,1.6,67.404,JT5L-404,5,6,full cone,4,T1,24.619,30.147,55.066,82.681,0.526,2.666,2.143,3.876,10.196,8.855,30.505,324.616,352.125,10.945
coffee,enmcapa,A1,14.681,3.891,70.308,17.746,1.53,1.6,67.645,JT5L-404,5,6,full cone,4,T1,24.775,29.247,54.142,77.982,0.475,2.418,1.917,3.659,10.765,8.993,30.447,315.775,361.065,11.07
coffee,enmcapa,A1,14.697,3.873,70.395,17.584,1.539,1.6,67.598,JT5L-404,5,6,full cone,4,T1,25.023,29.322,55.421,80.552,0.468,2.538,1.878,3.659,10.452,8.984,29.851,320.994,352.233,10.842
coffee,enmcapa,A1,14.642,3.862,70.494,17.495,1.535,1.6,67.702,JT5L-404,5,6,full cone,4,T1,25.998,30.845,54.283,80.176,0.492,2.489,2.066,3.712,9.949,8.907,30.318,319.218,345.018,10.876
coffee,enmcapa,A1,14.729,3.852,70.848,17.73,1.545,1.6,67.078,JT5L-404,5,6,full cone,4,T1,24.61,31.079,56.285,78.657,0.516,2.372,2.033,3.673,10.388,8.967,29.548,316.397,355.416,11.075
coffee,enmcapa,A1,14.647,3.874,70.073,17.717,1.55,1.6,67.338,JT5L-404,5,6,full cone,4,T1,25.251,30.308,56.381,82.107,0.536,2.617,2.043,3.938,10.321,9.137,29.672,323.673,354.209,11.009
coffee,enmcapa,A1,14.709,3.886,70.693,17.698,1.541,1.6,67.85,JT5L-404,5,6,full cone,4,T1,24.51,29.811,55.86,81.396,0.533,2.514,1.968,4.202,10.641,8.948,30.55,316.428,351.01,11.038
