plant.name,plant.cultivar,model.name,model.weight,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.power,model.rotors.number,model.nozzles.type,model.nozzles.number,model.particle_diameter.min,model.particle_diameter.max,model.swath_width.min,model.swath_width.max,model.water_pump.type,model.water_pump.flow_rate,model.water_pump.number,experiment.name,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.atomization_diameter,experiment.results.coverage.value,experiment.results.coverage.max,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.0,31.0,48.0,72.0,0.2,1.6,2.0,7.0,30.0,,3.1,3.6,39.7,223.9,226.3,10.4
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.345,30.918,47.682,72.613,0.213,1.698,2.068,7.349,28.686,,3.173,3.578,39.467,221.783,222.429,10.506
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.089,29.918,47.634,74.429,0.189,1.542,2.07,7.033,30.628,,3.121,3.555,39.637,222.196,228.361,10.569
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.781,31.824,49.437,73.474,0.187,1.557,1.918,7.012,30.498,,3.112,3.511,39.717,224.832,226.344,10.246
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.983,31.098,47.704,72.008,0.201,1.543,2.029,7.341,29.216,,3.118,3.624,38.843,221.974,225.81,10.528
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.565,31.39,48.835,72.344,0.208,1.608,1.951,6.557,29.039,,3.113,3.566,40.297,220.712,227.142,10.18
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.505,31.966,47.317,74.119,0.208,1.449,2.096,6.962,29.483,,3.074,3.618,39.78,222.769,226.951,10.418
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.43,31.964,46.581,74.037,0.191,1.671,1.958,6.926,29.285,,3.153,3.57,39.849,226.165,230.224,10.442
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,23.547,30.452,47.052,69.583,0.21,1.674,2.153,6.987,32.216,,3.094,3.631,39.906,220.903,224.9,10.5
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S2-V1,22.229,30.392,48.679,72.559,0.186,1.624,1.813,6.834,29.728,,3.083,3.584,40.55,226.745,228.886,10.46
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,30.0,,4.3,4.5,65.0,251.1,252.9,12.0
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.05,31.891,49.352,73.013,0.208,1.738,2.115,2.756,28.617,,4.249,4.517,65.008,247.966,253.203,11.906
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.805,32.087,47.109,71.514,0.193,1.565,1.938,2.932,31.386,,4.363,4.516,65.638,252.259,252.259,11.843
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.897,30.396,48.679,69.623,0.188,1.686,2.047,3.073,31.487,,4.244,4.58,64.357,253.334,255.182,11.797
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.03,31.07,48.16,73.751,0.207,1.637,2.088,2.906,32.374,,4.207,4.54,64.444,251.084,253.984,11.888
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.545,31.203,46.671,71.144,0.204,1.681,2.147,3.2,30.071,,4.292,4.47,65.682,255.6,255.6,11.868
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.323,30.393,47.492,70.491,0.199,1.715,2.036,2.92,31.095,,4.279,4.58,65.171,250.598,257.753,11.746
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.478,30.394,47.928,71.302,0.185,1.553,2.029,2.824,28.332,,4.398,4.447,65.728,250.494,250.494,12.208
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.467,31.734,48.644,69.495,0.187,1.723,1.902,2.845,31.393,,4.369,4.441,64.106,256.546,256.546,12.011
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.851,30.682,48.107,74.739,0.194,1.492,2.088,2.942,27.614,,4.33,4.488,65.028,253.108,253.108,12.122
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,30.0,,3.5,4.2,48.4,237.2,248.1,9.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.888,31.259,50.116,70.549,0.194,1.5,3.577,3.028,27.636,,3.425,4.165,47.863,238.437,252.504,9.558
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.628,30.528,47.84,72.773,0.211,1.673,3.702,3.158,30.83,,3.498,4.118,49.057,235.912,250.199,9.692
